name,unit,current_price,original_price,discount,in_stock,image
"Pepe Jeans Premium Cotton Lace Camisole Black - XXL","1 XXL","419","499","16% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/12/7c6339ad-fb5e-47ec-a841-8b8262e66350_800610_1.png"
"Pepe Jeans Men Vest (Cotton, Solid, Sleeveless) Grey Melange - L","1 Large","399","599","33% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/18/2d630543-9f27-48a6-8640-efa9d95ccd9c_268599_1.png"
"Pepe Jeans Premium Kids Wear Desert Rose Combo Ksc01 2-3 Yr","1 x Age (2-3) Years","269","499","46% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/24/e1acab2e-63e7-402c-8fc7-a4d8a33cd44c_156233_1.png"
"Pepe Jeans Men Vest (Cotton, Solid, Sleeveless) White - L","1 L","485","549","12% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/9dd220ed-7194-4494-868a-4938e98758c8_48864_1.png"
"Pepe Jeans Premium Egyptia Cotton Briefs Black - M","1 Medium","279","NA","NA","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/25/94babbeb-d7e2-4322-a06f-3486c54e3fc7_73717_1.png"
"Pepe Jeans BGB02 -01 -SHSAOP - XL","1 XL","349","729","52% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/15/22476af3-bf48-4283-9c8e-43af18771c99_776917_1.png"
"Pepe Jeans Men Vest (Cotton, Solid, Sleeveless) Black - S","1 Small","489","649","25% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/9/27/16e41f58-ea7d-44a5-8f3a-bab9c7e42441_254887_1.png"
"Pepe Jeans All Day Comfort Black Printed Boxer - ATB02 - S","1 Small","599","799","25% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/12/4/ea0671c0-83f6-404b-a8fe-0fedccbc7487_193747_1.png"
"Pepe Jeans Premium Enriched Cotton Black Melange Shorts - ATS01 - XL","1 XL","709","1199","41% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/f6c27246-1828-4918-a551-972611d05839_102710_1.png"
"Pepe Jeans Men Boxer (Cotton, Mid-Rise) Beige - L","1 Large","449","549","18% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/c19bded7-b147-4e52-a4f2-61bdf524da32_48076_1.png"
"Pepe Jeans Men's Classic Grey Brief with Ultrasoft waistband - CLB02 -02 - S","2 Small","419","479","13% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/1/9/0e542089-8dda-4278-98f4-53b95643e6c2_894401_1.png"
"Pepe Jeans Cotton Night Suit Grey Floral - S","1 Small","899","2199","59% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/4/2/e64c41c7-a84f-4f80-a818-c1fb19072395_920852_1.png"
"Pepe Jeans Cotton Night Suit Blue - XXL","1 XXL","899","2199","59% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/12/26e2105b-e697-454c-8f40-f1c293e9466b_204477_1.png"
"Pepe Jeans Basic Solid True Trunk (Pack of 2) Blue - CLT01 - XL","2 XL","500","599","17% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/ccd9a20a-8324-47e7-83ab-9984cec75cbe_300209_1.png"
