name,unit,current_price,original_price,discount,in_stock,image
"Petcrux Tofu Lavendar 2.5 kg","2.5 kg","608","950","36% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/26/b863ed73-7f3c-48f3-b0b5-17a69e5c02e2_244184_1.png"
"Petcrux Adult Dog Food Chicken & Rice, Complete Balanced Food for Adult Dogs","10 kg","1184","1499","21% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/048efe8a-0a9e-4aa4-819e-e14251629f5f_OGIFSRADYN_MN_18122025.png"
"Petcrux Organic Pine Wood Cat Litter, 5kg","5 kg","623","890","30% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/26/5242030f-f5eb-490d-992f-8330d43f0e11_326286_1.png"
"Petcrux Pet Exclusive White Sand Lavender Scented Cat Litter (For Multiple Cats)","5 kg","599","NA","NA","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/d8e0d4d1-b3a3-4386-8bcc-212240ff935d_N4UD53N5X3_MN_18122025.png"
"Petcrux Bird Food Mixed Seeds, 1kg","1 kg","337","449","25% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/41386dd9-e2b9-48d4-ae53-477aad8d7116_FF2QIG2ND2_MN_18122025.png"
"Petcrux Complete Nourishment Fish Food For All Life Stages Mini Pellet","250 g","147","199","26% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/92dc2825-dd0c-4ce3-a92f-10981c239c90_UXA6HZM9G3_MN_18122025.png"
"Petcrux Premium Pellet Turtle Food, 1kg","1 kg","379","550","31% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/5151b586-0aca-42a4-bb66-694d69583435_KMXAUNBMCM_MN_18122025.png"
"Petcrux Dog Poop Bags, Biodegradable bags for waste pick up, 75 Bags","200 pack","279","399","30% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/34deaa32-7394-4ef8-b2b9-0aad1ad878a4_FODFCC6ZAO_MN_18122025.png"
"Petcrux Tofu Corn 2.5 kg","2.5 kg","712","950","25% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/26/a2e4d940-89af-49fc-8377-a6d7fc63eb44_809810_1.png"
"Petcrux Litter Starter Kit","5 kg","1058","1449","27% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/db76fd32-f474-4223-8f63-849d5f6ec83e_TKN07KJXNG_MN_18122025.png"
"Petcrux Ecoclump Unscented","5 kg","360","450","20% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/6ba2d5ec-ab24-418a-a9e4-cca116befa91_RVHXYV6Y5G_MN_18122025.png"
"Petcrux Sunflower Seeds Bird Food, 1kg","1 kg","309","499","38% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/387c9c2b-a5fe-42cd-86cc-8b3e92185ef9_JPWHBFW5FJ_MN_18122025.png"
"Petcrux Eco Clump Lavender Scented Bentonite Cat Litter","5 kg","373","450","17% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/0b07ee7f-2cd0-4a78-a47a-8abd86223e0e_B20QPJFFOD_MN_18122025.png"
"Petcrux Tetrabits Complete Fish Food, 500g","500 g","559","799","30% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/fb1db953-1472-458f-89af-53d0451a1040_JPQC6JUZVI_MN_18122025.png"
"Petcrux Treat box for cats | contains 4 delicious & nutritious cat treats for all life stages, chicken & mutton flavour, 280g","280 g","474","600","21% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/a8722ff8-8175-49e8-9e55-2149d116246f_36VRBV2L23_MN_18122025.png"
"Petcrux Litter Tray + Scooper","600 g","629","899","30% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/0f3f578a-3b53-4395-b645-15df7dd4ec6a_U0BU0CZ89T_MN_18122025.png"
"Petcrux Go Exclusive Bentonite","5 kg","407","550","26% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/3c5b1930-9eff-4364-b090-ade49f817868_I8NGNHCCP4_MN_18122025.png"
"Petcrux Rabbit Food 1kg","1 kg","359","599","40% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/1a76188f-0518-4186-bb25-613e1b8020a6_MA4YKRM5KK_MN_18122025.png"
"Petcrux Smart Clump Bentonite","5 kg","423","550","23% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/daf98fe8-657f-4c34-b4b4-2cf42ac9063a_N9J9XS111G_MN_18122025.png"
"Petcrux Pet Exclusive White Sand Unscented Cat Litter | (For Multiple Cats)","5 kg","550","NA","NA","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/12/18/3981f339-9e50-408f-8a31-4e6fd3bec613_RQO6M8TU9S_MN_18122025.png"
"Petcrux Cat Litter Mat, 30*45 cm Litter Mat Double Layer Open Edge Design, Waterproof EVA Material, Durable and Washable, Cats Litter Box, Cat Litter Tray (Black/Grey)","1 Piece","674","899","25% OFF","Out of Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/11/27/aa9a1fb9-46b6-4f90-9382-fb39ffb0e6f9_997023_1.png"
