product_id,url,name,current_price,original_price,unit,in_stock,image
"694230","https://blinkit.com/prn/petcrux-4-in-1-lavender-pet-shampoo/prid/694230","Petcrux 4 in 1 Lavender Pet Shampoo","259","320","200 ml","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/3a2b3e71-99d5-45b9-a60b-315ab8e43334.png"
"575971","https://blinkit.com/prn/petcrux-aqua-magnetic-aquarium-cleaner-white-blue/prid/575971","Petcrux Aqua Magnetic Aquarium Cleaner (White, Blue)","339","500","1 unit","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/5e589713-c453-4ae0-8fd6-d7b1befe239b.png"
"541135","https://blinkit.com/prn/petcrux-bajra-bird-food/prid/541135","Petcrux Bajra Bird Food","219","499","2 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/dd27824e-4305-436e-8318-111b0320f4b1.png"
"638997","https://blinkit.com/prn/petcrux-chicken-and-egg-dry-dry-puppy-food/prid/638997","Petcrux Chicken & Egg Dry Dry Puppy Food","399","550","3 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/a5336357-f370-4e97-ad4d-9fadfa17af38.png"
"639419","https://blinkit.com/prn/petcrux-chicken-and-rice-adult-dog-food/prid/639419","Petcrux Chicken & Rice Adult Dog Food","1199","1499","10 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/d6a05eac-1e33-45e9-98a0-3755f8563b06.png"
"541344","https://blinkit.com/prn/petcrux-dog-poop-bag/prid/541344","Petcrux Dog Poop Bag","169","399","1 pack (75 pieces)","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/5b057a9c-1697-4b21-99af-895531011688.png"
"577580","https://blinkit.com/prn/petcrux-double-layer-cat-litter-mat-grey-black/prid/577580","Petcrux Double Layer Cat Litter Mat (Grey, Black)","379","899","1 unit","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/4a5fb68d-7ed5-418e-98fd-029c31f71514.png"
"655270","https://blinkit.com/prn/petcrux-eco-clump-cat-litter/prid/655270","Petcrux Eco Clump Cat Litter","339","450","5 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/20e2059d-92cb-4b0e-879d-2fd446d15362.png"
"694226","https://blinkit.com/prn/petcrux-oatmeal-pet-shampoo/prid/694226","Petcrux Oatmeal Pet Shampoo","249","300","200 ml","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/d6697e36-820e-4730-a299-c8277c8a3968.png"
"522139","https://blinkit.com/prn/petcrux-organic-pine-wood-cat-litter/prid/522139","Petcrux Organic Pine Wood Cat Litter","799","890","5 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/08c26e43-9879-446a-adbf-1776347295c1.png"
"639051","https://blinkit.com/prn/petcrux-pet-exclusive-white-sand-cat-litter-lavender/prid/639051","Petcrux Pet Exclusive White Sand Cat Litter (Lavender)","499","599","5 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/3edf273c-7da7-467a-9721-e4f52532143b.png"
"639047","https://blinkit.com/prn/petcrux-pet-exclusive-white-sand-cat-litter-unscented/prid/639047","Petcrux Pet Exclusive White Sand Cat Litter (Unscented)","449","550","5000 g","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/0b3dfb7d-cc14-4254-a354-f3ca51b4372b.png"
"576196","https://blinkit.com/prn/petcrux-premium-mixed-seeds-bird-food/prid/576196","Petcrux Premium Mixed Seeds Bird Food","269","449","1 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/fba19531-f75a-4580-afaa-7cd928f6abd0.png"
"541138","https://blinkit.com/prn/petcrux-premium-pellet-turtle-food/prid/541138","Petcrux Premium Pellet Turtle Food","399","550","1 kg","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/8e80cab8-bcda-4c0b-abb3-6d7cd97bf576.png"
